oid,filter,mjd,mag,magerr,clrcoeff
771115300018846,zg,58228.48497,15.310146,0.010417953,-0.05087251
771115300018846,zg,58234.4442,15.3048935,0.010411749,-0.043927304
771115300018846,zg,58234.50117,15.316041,0.01042495,-0.046132356
771115300018846,zg,58252.4632,15.26887,0.010369988,-0.09402878
771115300018846,zg,58255.42756,15.180651,0.0102732945,-0.054082967
771215300025323,zr,58255.46447,13.61362,0.009928783,0.07209695
771215300025323,zr,58258.45433,13.5761,0.009923312,0.08152335
771115300018846,zg,58261.46866,15.075832,0.010168008,-0.03785529
771215300025323,zr,58266.38315,13.570249,0.009922489,0.075779684
771215300025323,zr,58269.42861,13.569008,0.009922315,0.06825106
771115300018846,zg,58269.47402,15.095123,0.010186642,-0.036645778
771115300018846,zg,58272.42791,15.152649,0.010244182,-0.06454963
771215300025323,zr,58272.46092,13.56894,0.009922305,0.077080145
771115300018846,zg,58278.43188,15.130509,0.010221682,-0.06655476
771215300025323,zr,58278.46646,13.551486,0.009919905,0.07170955
771115300018846,zg,58281.43107,15.162639,0.010254484,-0.0779986
771215300025323,zr,58281.47045,13.541081,0.009918505,0.08088652
771215300025323,zr,58284.46779,13.556179,0.009920542,0.07549201
771215300025323,zr,58287.46532,13.556607,0.009920602,0.071714565
771115300018846,zg,58290.44898,15.153025,0.010244568,-0.06901974
771215300025323,zr,58290.47687,13.552069,0.009919983,0.076223426
771115300018846,zg,58293.44651,15.183592,0.010276395,-0.08274675
771215300025323,zr,58293.47353,13.549965,0.009919698,0.07468447
771215300025323,zr,58296.36931,13.562878,0.009921463,0.070165105
771115300018846,zg,58296.469,15.116603,0.010207779,-0.058066458
771215300025323,zr,58299.42823,13.510128,0.009914493,0.074875616
771115300018846,zg,58299.46912,15.061738,0.010154597,-0.03987381
1807207300012722,zr,58301.4228,13.528845,0.010372898,0.08130468
1807207300012722,zr,58301.42325,13.527944,0.010372764,0.08363728
771215300025323,zr,58301.42372,13.535294,0.009917739,0.0751833
771215300025323,zr,58301.42417,13.538312,0.009918137,0.07827922
771115300018846,zg,58302.45237,15.091403,0.010183024,-0.040076632
771215300025323,zr,58305.42569,13.543917,0.009918884,0.07948835
771115300018846,zg,58305.47325,15.138208,0.010229456,-0.0713297
771215300025323,zr,58310.43025,13.508585,0.009914299,0.07548606
771115300018846,zg,58316.41009,15.083481,0.010175358,-0.02928386
771215300025323,zr,58316.44956,13.52913,0.00991693,0.07916344
771115300018846,zg,58319.40864,15.089793,0.0101814605,-0.027186215
771215300025323,zr,58319.45792,13.535969,0.009917828,0.0807328
771215300025323,zr,58322.40618,13.5442295,0.009918927,0.07958613
771115300018846,zg,58322.45027,15.061323,0.010154205,-0.031343725
771115300018846,zg,58325.45706,15.0530405,0.0101464065,-0.039741036
771215300025323,zr,58325.49556,13.509917,0.009914466,0.0744377
1807207300012722,zr,58326.36948,13.499377,0.010368595,0.08507997
1807207300012722,zr,58326.36994,13.494491,0.010367898,0.0851324
1807207300012722,zr,58327.37022,13.470638,0.010364562,0.08306992
1807207300012722,zr,58327.37067,13.484347,0.010366467,0.08799687
1807207300012722,zr,58328.35588,13.459409,0.010363028,0.082496405
1807207300012722,zr,58328.35633,13.4635315,0.010363588,0.07996276
771215300025323,zr,58328.40681,13.464304,0.0099089425,0.07601299
1807107300010117,zg,58329.43852,15.029503,0.011937325,-0.05793841
1807107300010117,zg,58329.45491,15.015616,0.011932102,-0.045821626
1807207300012722,zr,58330.38846,13.451505,0.010361964,0.0889298
1807207300012722,zr,58330.38982,13.436293,0.010359947,0.0866655
771215300025323,zr,58331.40368,13.442415,0.00990645,0.079660684
1807207300012722,zr,58332.35777,13.447796,0.0103614675,0.08765343
1807207300012722,zr,58332.38104,13.453763,0.0103622675,0.08271817
1807107300010117,zg,58333.43553,15.025591,0.011935834,-0.05638221
771115300018846,zg,58334.32423,15.004437,0.010101802,-0.043104276
771215300025323,zr,58334.36349,13.454248,0.009907785,0.08055209
1807207300012722,zr,58334.40244,13.445556,0.010361169,0.085275725
1807207300012722,zr,58334.40289,13.447234,0.010361392,0.085314974
1807207300012722,zr,58335.35896,13.447808,0.010361469,0.087824605
1807207300012722,zr,58335.37249,13.449842,0.010361741,0.08591965
1807207300012722,zr,58336.35851,13.457582,0.010362781,0.085360676
1807207300012722,zr,58336.35897,13.449077,0.010361639,0.08438039
771215300025323,zr,58337.34863,13.456108,0.009907997,0.08162515
771115300018846,zg,58337.39282,14.989824,0.010088769,-0.026777586
1807107300010117,zg,58338.39544,15.045194,0.011943456,-0.061954997
771215300025323,zr,58340.39,13.455189,0.009907893,0.089232266
771215300025323,zr,58340.39092,13.460788,0.009908535,0.09048463
771215300025323,zr,58342.34353,13.495376,0.009912657,0.07983915
771115300018846,zg,58342.4121,15.036092,0.010130628,-0.02461446
771215300025323,zr,58343.36417,13.525091,0.009916405,0.08429274
771215300025323,zr,58343.36508,13.516538,0.009915306,0.07649175
771115300018846,zg,58343.38528,15.044063,0.01013802,-0.020545607
771115300018846,zg,58343.3862,15.051424,0.01014489,-0.028579475
771115300018846,zg,58344.36463,15.05222,0.010145638,-0.036608938
1807107300010117,zg,58344.39241,15.082,0.011958823,-0.066041976
771215300025323,zr,58344.43298,13.509159,0.009914371,0.07791957
1807207300012722,zr,58344.43928,13.510599,0.010370214,0.08361602
1807207300012722,zr,58345.35421,13.506248,0.010369583,0.08784838
771115300018846,zg,58346.34633,15.035755,0.010130318,-0.04136372
771215300025323,zr,58346.39181,13.515343,0.0099151535,0.08201702
771215300025323,zr,58349.3268,13.536053,0.0099178385,0.08252465
771115300018846,zg,58349.38632,15.080519,0.010172504,-0.033383235
1807107300010117,zg,58350.31336,15.107718,0.011970395,-0.062948264
771215300025323,zr,58352.3248,13.5657835,0.009921866,0.075543396
