JD,mag,mag_err
2458228.98575,16.789223,0.016150756
2458228.98666,16.824158,0.017939733
2458232.99931,16.859789,0.018160792
2458235.99974,16.828608,0.017966935
2458236.00066,16.859077,0.01650212
2458236.92839,16.860722,0.018166682
2458244.94839,16.82484,0.017943894
2458244.94931,16.84468,0.016428016
2458246.96997,16.835186,0.018007368
2458246.98373,16.860355,0.016508741
2458247.9852,16.848206,0.016446074
2458247.9861,16.847378,0.018082956
2458252.96371,16.833046,0.016368777
2458254.94452,16.839626,0.016402213
2458254.94543,16.86151,0.018171651
2458255.92713,16.842966,0.0180555
2458255.92804,16.83141,0.016360492
2458261.96907,16.8428,0.018054472
2458262.97558,16.858315,0.016498169
2458262.97607,16.833115,0.017994607
2458263.9634,16.84348,0.016421873
2458263.96674,16.843884,0.018061206
2458267.96531,16.846548,0.018077783
2458267.96622,16.87916,0.016607003
2458268.96683,16.807808,0.01624224
2458268.96774,16.834377,0.01800238
2458269.97202,16.843216,0.016420526
2458269.97293,16.838215,0.018026069
2458270.95206,16.846088,0.018074917
2458270.96899,16.816385,0.016284946
2458272.93149,16.822311,0.016314631
2458272.93241,16.83928,0.018032646
2458273.95051,16.83873,0.018029252
2458273.964,16.811636,0.016261265
2458274.944,16.824295,0.01794057
2458274.94491,16.821882,0.016312476
2458275.94858,16.838825,0.018029844
2458276.90662,16.867142,0.016544025
2458276.90758,16.841507,0.01804645
2458277.94776,16.856041,0.016486416
2458277.94868,16.854488,0.018127441
2458278.93119,16.843235,0.018057175
2458278.93402,16.825485,0.016330587
2458279.95491,16.842543,0.016417084
2458279.95583,16.848225,0.018088235
2458280.92591,16.835838,0.01801139
2458280.95358,16.844456,0.016426865
2458281.93033,16.81638,0.016284917
2458281.93358,16.83657,0.018015904
2458282.92488,16.824928,0.017944433
2458282.92636,16.814152,0.016273797
2458283.92665,16.839325,0.018032933
2458283.9524,16.82051,0.016305592
2458285.9495,16.841656,0.016412558
2458285.95141,16.83913,0.018031731
2458286.92998,16.843376,0.018058049
2458286.9309,16.827995,0.01634324
2458287.93205,16.834545,0.016376376
2458287.93296,16.858551,0.018152991
2458288.93057,16.843796,0.016423488
2458288.93293,16.86304,0.018181339
2458289.92112,16.833288,0.017995678
2458289.92204,16.845299,0.016431179
2458290.95305,16.815918,0.016282614
2458290.95354,16.845987,0.018074295
2458291.9543,16.847313,0.0164415
2458291.95478,16.825432,0.017947504
2458292.95521,16.811394,0.01786231
2458293.95322,16.83718,0.016389757
2458293.95414,16.832916,0.017993392
2458294.95604,16.846342,0.0180765
2458294.95695,16.832027,0.016363617
2458296.96623,16.811058,0.017860293
2458296.96715,16.828093,0.016343728
2458297.94509,16.827679,0.017961247
2458297.96996,16.852074,0.016465958
2458298.97148,16.837696,0.016392382
2458298.97239,16.822006,0.017926617
2458299.95689,16.81769,0.017900387
2458299.96913,16.815723,0.016281636
2458300.97326,16.8477,0.018084962
2458301.82489,16.808449,0.017844586
2458301.97026,16.82829,0.016344732
2458302.95143,16.841528,0.016411908
2458302.9533,16.847376,0.01808294
2458303.94253,16.831285,0.017983366
2458303.94443,16.830841,0.016357614
2458304.9458,16.860054,0.016507184
2458304.94671,16.847797,0.018085571
2458305.9548,16.850723,0.018103844
2458305.9723,16.846582,0.016437754
2458307.94908,16.852743,0.018116497
2458307.94999,16.822098,0.01631356
2458310.86591,16.812431,0.016265223
2458310.86681,16.804417,0.017820392
2458312.96487,16.823925,0.017938308
2458312.96579,16.83299,0.016368495
2458313.94742,16.85011,0.018100007
2458314.9653,16.831244,0.017983109
2458315.90221,16.833979,0.017999928
2458316.90763,16.888092,0.018341715
2458316.90906,16.842789,0.01641834
2458317.88231,16.801262,0.01780152
2458318.92585,16.832718,0.016367111
2458319.90757,16.81448,0.01627543
2458320.95628,16.829628,0.01797319
2458320.95813,16.819973,0.016302899
2458321.93416,16.84439,0.01642653
2458322.9492,16.850227,0.016456459
2458322.95011,16.832073,0.017988209
2458323.95576,16.880257,0.016612781
2458323.95625,16.836826,0.018017488
