JD	mag	mag_err
2458228.98657	16.136564	0.014851636
2458232.99923	16.253834	0.015215593
2458235.99965	16.198025	0.015036932
2458236.92831	16.166733	0.014941132
2458246.96991	16.183601	0.014992393
2458247.98604	16.231548	0.015143032
2458255.92708	16.137733	0.014855053
2458261.96903	16.066288	0.014653674
2458262.97604	16.241121	0.015173999
2458263.96671	16.264977	0.015252497
2458267.96529	16.214794	0.015089549
2458268.96772	16.184408	0.014994867
2458269.97292	16.192827	0.015020805
2458270.95204	16.199451	0.0150413755
2458272.9324	16.12222	0.014810051
2458273.9505	16.166367	0.014940024
2458274.94399	16.20755	0.015066714
2458275.94857	16.219784	0.0151053835
2458276.90758	16.292141	0.015344233
2458277.94868	16.23285	0.01514722
2458278.93119	16.270868	0.0152721815
2458279.95583	16.258425	0.015230748
2458280.92591	16.170227	0.014951676
2458281.93359	16.202368	0.015050473
2458282.92489	16.183807	0.014993025
2458283.92666	16.166721	0.014941095
2458285.95142	16.144915	0.014876131
2458286.93	16.183712	0.014992732
2458287.93298	16.206062	0.0150620425
2458288.93295	16.157593	0.014913721
2458289.92115	16.2178	0.015099079
2458290.95356	16.209282	0.015072155
2458291.95481	16.06968	0.014662901
2458292.95524	16.24963	0.015201781
2458293.95417	16.138323	0.014856779
2458294.95607	16.104942	0.0147607755
2458296.96627	16.19994	0.015042897
2458297.94513	16.143522	0.014872031
2458298.97243	16.168661	0.014946944
2458299.95694	16.29992	0.015370964
2458300.97331	16.21695	0.0150963785
2458301.82494	16.24046	0.015171849
2458302.95335	16.04369	0.014593032
2458303.94258	16.233192	0.015148329
2458304.94677	16.235191	0.015154782
2458305.95485	16.226564	0.0151270265
2458307.94914	16.589998	0.016532287
2458310.86688	16.06889	0.014660751
2458312.96494	16.14368	0.014872497
2458313.94749	16.223078	0.015115879
2458315.90229	16.064306	0.014648301
2458316.90771	16.152035	0.014897183
2458317.88239	16.080227	0.014691802
2458318.92826	16.11546	0.014790665
2458319.90624	16.112602	0.014782514
2458320.95636	16.212736	0.015083046
