JD	mag	mag_err
2458387.86454	14.528733	0.013145659
2458653.97578	14.542914	0.01314526
2459093.80632	14.532153	0.013145549
2459097.89139	14.553305	0.013145058
2459111.80961	14.562384	0.013144945
2459119.795	14.49837	0.0131469825
2459121.76278	14.510553	0.013146375
2459138.68957	14.537886	0.013145386
2459143.75381	14.540229	0.013145325
2459165.64697	14.545685	0.013145199
2459439.91927	14.571886	0.013144889
2459479.78934	14.588415	0.013144949
2459503.75138	14.537466	0.0131453965
2459505.6592	14.55134	0.01314509
