JD	mag	mag_err
2458387.86357	14.726536	0.010570777
2458653.97587	14.78038	0.010605856
2459093.8052	14.883972	0.01067869
2459097.89122	14.755595	0.010589482
2459121.76321	14.669782	0.010535725
2459130.72294	14.72487	0.01056972
2459131.80321	14.709109	0.0105598075
2459134.84318	14.740863	0.0105799325
2459134.86107	14.722556	0.010568255
2459135.6998	14.541212	0.01046312
2459135.82056	14.538854	0.010461872
2459136.7647	14.797481	0.010617384
2459136.78519	14.905568	0.010694808
2459137.7839	14.928657	0.010712416
2459138.65594	14.970932	0.010745681
2459138.67747	14.738281	0.010578274
2459138.69111	14.498435	0.010440913
2459139.66634	14.576186	0.01048198
2459141.76913	14.778211	0.010604407
2459142.80571	14.725693	0.010570242
2459142.82998	14.593101	0.010491334
2459142.83393	14.780177	0.010605721
2459143.75304	14.551702	0.010468709
2459143.76028	14.713865	0.010562783
2459144.76558	14.504206	0.010443855
2459144.80831	14.712698	0.010562052
2459145.80327	14.696516	0.0105519965
2459145.8204	14.320577	0.010357962
2459152.64608	14.733172	0.010575002
2459152.65915	14.886981	0.010680916
2459153.76165	14.767212	0.010597108
2459153.79252	14.631437	0.010513114
2459155.80219	14.845113	0.010650514
2459155.81866	14.688632	0.010547155
2459157.76595	14.814838	0.010629281
2459157.78213	14.614685	0.010503497
2459158.74407	14.79959	0.010618819
2459158.76083	14.6922035	0.010549344
2459165.62315	14.54009	0.010462526
2459165.63494	14.779252	0.0106051015
2459166.87621	14.717428	0.010565021
