JD	mag	mag_err
2458255.96432	14.062067	0.010182374
2458258.95417	14.069076	0.010182775
2458266.88301	14.068304	0.010182729
2458269.92847	14.082422	0.010183587
2458272.96079	14.075173	0.010183136
2458275.93136	14.063664	0.0101824645
2458278.96633	14.056473	0.010182069
2458281.97033	14.056248	0.010182057
2458284.96768	14.105851	0.010185182
2458287.96521	14.060235	0.010182274
2458290.97677	14.068813	0.010182758
2458293.97344	14.068769	0.010182756
2458296.86922	14.067675	0.010182693
2458299.92815	14.064081	0.010182488
2458301.92273	14.066468	0.010031725
2458301.92318	14.07108	0.010031531
2458301.92364	14.044884	0.0101814745
2458301.92409	14.05779	0.01018214
2458302.90752	14.095077	0.010184422
2458305.92563	14.059478	0.010182232
2458310.9302	14.059509	0.010182233
2458313.9136	14.0558405	0.010182036
2458316.94953	14.066297	0.010182613
2458319.9579	14.055531	0.010182019
2458322.90616	14.055979	0.010182043
2458325.99556	14.062289	0.010182386
2458326.86947	14.086915	0.010030918
2458326.86994	14.082178	0.01003109
2458327.87021	14.072845	0.010031458
2458327.87066	14.064807	0.010031798
2458328.85588	14.083958	0.010031025
2458328.85633	14.08562	0.010030963
2458328.90681	14.072442	0.010182973
2458330.88846	14.059337	0.010032043
2458330.88983	14.069475	0.010031598
2458331.90369	14.060983	0.010182314
2458332.88105	14.085066	0.010030984
2458334.86351	14.055111	0.010181996
2458334.90246	14.066563	0.010031722
2458334.90291	14.070774	0.010031543
2458335.85898	14.071318	0.01003152
2458335.87251	14.075068	0.010031368
2458336.85853	14.068849	0.010031624
2458336.859	14.071813	0.0100315
2458337.84865	14.059605	0.010182239
2458340.89004	14.053745	0.010181924
2458340.89095	14.057902	0.010182146
2458342.84357	14.060016	0.010182261
2458343.86421	14.06398	0.010182482
2458343.86513	14.053275	0.010181899
2458344.93303	14.049585	0.010181709
2458344.93932	14.07882	0.01003122
2458345.85426	14.094682	0.0100306505
2458346.89186	14.068645	0.010182749
2458349.82686	14.081481	0.010183528
2458352.82486	14.064897	0.010182534
2458353.8151	14.069265	0.010031607
2458354.78546	14.059803	0.010032021
2458355.80366	14.066924	0.010031706
2458355.84174	14.068474	0.010182738
2458355.93543	14.050945	0.010181779
2458356.8064	14.075569	0.010031348
2458358.91022	14.087858	0.010183937
2458361.80441	14.0731535	0.010183015
2458364.80963	14.069829	0.010182818
2458367.8466	14.054164	0.010181946
2458368.82387	14.076322	0.010031316
2458370.80173	14.060503	0.0101822885
2458372.83336	14.079191	0.010031205
2458373.79172	14.057069	0.0101821
2458376.85042	14.057823	0.010182142
2458378.76859	14.07204	0.010031491
2458379.7715	14.06678	0.010031713
2458379.80568	14.068522	0.010182741
2458380.79311	14.06969	0.010031588
2458382.85062	14.061909	0.010182366
2458383.82886	14.072911	0.010031455
2458385.76964	14.056083	0.010182047
2458385.78893	14.060213	0.010032004
2458386.76724	14.077002	0.010031291
2458388.74855	14.054428	0.01018196
2458389.78212	14.069857	0.010031581
2458400.71847	14.063574	0.010182458
2458425.76439	14.077146	0.010031284
2458428.62477	14.064449	0.010182508
2458431.65421	14.0804405	0.010183461
2458431.70738	14.072344	0.0100314785
2458434.68439	14.061285	0.010182331
2458437.77723	14.069007	0.01018277
2458439.71621	14.077035	0.010183251
2458439.71666	14.0724	0.01018297
2458439.72576	14.091247	0.010184163
2458439.72621	14.085656	0.010183794
2458439.73569	14.072462	0.010182974
2458439.74884	14.063077	0.010031875
2458441.71286	14.071087	0.010182892
2458441.71331	14.0812435	0.010183513
2458441.72261	14.068155	0.010182721
2458441.72308	14.061534	0.010182344
2458441.73192	14.059494	0.010182233
2458443.59467	14.083811	0.0100310305
2458447.82732	14.041827	0.0101813255
2458449.7275	14.072106	0.010182953
2458449.72932	14.070231	0.010182842
2458449.73366	14.077939	0.0101833055
2458449.73525	14.072473	0.010182975
2458449.7363	14.07533	0.010183146
2458450.73825	14.0729685	0.010183005
2458450.7387	14.064454	0.010182508
2458450.73917	14.069202	0.010182781
2458451.71815	14.077086	0.010183254
2458451.72133	14.0588875	0.0101822
2458451.73112	14.053429	0.0101819085
2458451.7343	14.060549	0.01018229
2458451.73886	14.069472	0.010182797
2458456.65376	14.0643015	0.010182499
2458461.59248	14.089685	0.010184059
2458461.59344	14.085509	0.010183785
2458461.59439	14.066551	0.0101826275
2458461.59534	14.084127	0.010183697
2458461.59629	14.0695	0.010182799
2458461.59724	14.078795	0.0101833595
2458461.59819	14.06635	0.010182616
2458461.59914	14.070895	0.010182882
2458461.60009	14.068686	0.010182751
2458461.60104	14.07661	0.010183224
2458461.60198	14.069787	0.010182817
2458461.60293	14.065996	0.010182596
2458461.60388	14.063747	0.010182469
2458461.60483	14.060156	0.01018227
2458461.60578	14.0738735	0.010183059
2458461.60673	14.071914	0.010182942
2458461.60769	14.080287	0.010183453
2458461.64863	14.072417	0.010182972
2458461.64957	14.069442	0.010182795
2458461.65052	14.075609	0.010183164
2458461.65147	14.068983	0.010182769
2458461.65242	14.07533	0.010183146
2458461.65337	14.065282	0.010182556
2458461.65432	14.065847	0.010182587
2458461.65527	14.067849	0.010182704
2458461.65622	14.071566	0.010182921
2458461.65718	14.063426	0.01018245
2458461.65813	14.072721	0.01018299
2458461.65908	14.0662365	0.01018261
2458461.66002	14.065941	0.010182593
2458461.66097	14.0666065	0.010182632
2458461.66192	14.073536	0.010183039
2458461.66287	14.065278	0.010182555
2458461.66382	14.059795	0.010182249
2458461.66477	14.068146	0.01018272
2458461.66572	14.075938	0.0101831835
2458461.66667	14.0702305	0.010182842
2458461.67236	14.05932	0.010182222
2458461.67331	14.076202	0.0101832
2458461.67427	14.071909	0.010182941
2458461.67522	14.065015	0.010182541
2458461.67617	14.068863	0.010182762
2458461.67712	14.0724125	0.010182971
2458461.67807	14.065915	0.010182592
2458461.67902	14.06306	0.01018243
2458461.67997	14.065091	0.010182545
2458461.68091	14.069427	0.010182794
2458461.68186	14.066358	0.010182616
2458461.68281	14.060225	0.010182273
2458461.68376	14.070608	0.010182864
2458461.68471	14.070512	0.010182858
2458461.68566	14.066039	0.010182599
2458461.68661	14.0735445	0.010183038
2458461.68756	14.065513	0.010182569
2458461.68851	14.073365	0.010183028
2458461.68947	14.062913	0.010182422
2458461.69042	14.0820465	0.010183564
2458461.69137	14.067432	0.01018268
2458461.69231	14.054558	0.010181967
2458461.69326	14.070301	0.010182846
2458461.69421	14.082631	0.0101836
2458461.69516	14.071694	0.010182928
2458461.69611	14.086226	0.010183831
2458461.69706	14.06447	0.01018251
2458461.69801	14.077541	0.010183281
2458461.69896	14.075564	0.01018316
2458461.69991	14.060948	0.010182312
2458461.70086	14.057226	0.010182109
2458461.7018	14.070889	0.010182881
