JD	mag	mag_err
2458255.96446	14.526571	0.010073645
2458258.95431	14.544197	0.010081866
2458266.88315	14.548034	0.010083677
2458269.92861	14.548353	0.010083828
2458272.96093	14.549154	0.010084208
2458278.96648	14.541325	0.0100805145
2458281.97047	14.5329	0.010076576
2458287.96535	14.524064	0.01007249
2458290.97691	14.53827	0.010079081
2458293.97357	14.54438	0.0100819515
2458296.86935	14.536982	0.01007848
2458299.92828	14.533082	0.010076662
2458301.92285	14.541689	0.010337318
2458301.92331	14.521336	0.010332501
2458301.92377	14.546687	0.010083041
2458301.92422	14.521847	0.010071471
2458305.92575	14.518362	0.010069874
2458316.94963	14.527294	0.010073979
2458319.95799	14.543702	0.010081632
2458322.90625	14.550342	0.010084772
2458325.99564	14.539457	0.010079637
2458326.86956	14.540295	0.010336981
2458326.87002	14.532598	0.010335139
2458327.8703	14.548534	0.010338991
2458327.87075	14.5362	0.010335997
2458328.85596	14.548489	0.01033898
2458328.85642	14.533377	0.0103353225
2458328.90689	14.513844	0.010067816
2458330.88854	14.528729	0.010334226
2458330.88991	14.534044	0.010335483
2458331.90377	14.5476	0.010083471
2458332.85786	14.539546	0.0103368005
2458332.88112	14.507445	0.010329344
2458334.86358	14.565725	0.010092141
2458334.90252	14.532646	0.01033515
2458334.90298	14.524177	0.010333161
2458335.85904	14.529887	0.010334498
2458335.87257	14.5358	0.010335901
2458336.8586	14.518603	0.010331871
2458336.85906	14.5255	0.010333468
2458337.84872	14.559884	0.010089326
2458342.84362	14.527987	0.010074299
2458343.86426	14.550481	0.010084838
2458343.86518	14.547458	0.010083404
2458344.93307	14.540012	0.010079898
2458344.93937	14.539087	0.010336691
2458345.85431	14.530749	0.010334701
2458346.8919	14.534015	0.010077096
2458349.8269	14.578335	0.01009828
2458352.82489	14.564167	0.010091389
2458353.81512	14.547436	0.010338721
2458354.78549	14.551623	0.010339754
2458355.80368	14.534893	0.010335685
2458355.84176	14.50764	0.010065006
2458355.93545	14.566026	0.0100922845
2458356.80642	14.535035	0.010335718
2458358.91023	14.541705	0.010080693
2458361.80441	14.529792	0.010075135
2458364.80963	14.55363	0.010086335
2458367.84659	14.526506	0.010073615
2458368.82386	14.538926	0.010336651
2458370.80171	14.514198	0.010067976
2458372.83334	14.52188	0.010332628
2458373.79169	14.528259	0.010074425
2458376.85039	14.567456	0.010092977
2458378.76855	14.533998	0.0103354715
2458379.77146	14.529352	0.010334372
2458379.80564	14.52478	0.010072819
2458380.79307	14.534646	0.010335625
2458382.85058	14.541076	0.010080397
2458383.82882	14.558759	0.010341537
2458385.76959	14.538906	0.01007938
2458385.78888	14.503527	0.010328472
2458386.76719	14.536507	0.010336071
2458388.7485	14.538475	0.010079178
2458389.78206	14.551845	0.010339809
2458400.71839	14.543739	0.01008165
2458425.76427	14.557539	0.01034123
2458428.62464	14.487347	0.010055958
2458431.65408	14.503884	0.010063315
2458431.70725	14.49575	0.010326767
2458434.68426	14.504796	0.010063725
2458437.7771	14.52453	0.010072704
2458439.71608	14.556228	0.010087576
2458439.71653	14.568842	0.01009365
2458439.72562	14.549448	0.010084347
2458439.72607	14.536792	0.01007839
2458439.73555	14.554883	0.010086932
2458439.7487	14.538216	0.01033648
2458441.71272	14.531171	0.010075774
2458441.71317	14.524718	0.010072791
2458441.72248	14.528096	0.01007435
2458441.72294	14.522076	0.010071576
2458441.73178	14.523516	0.010072237
2458443.59453	14.542196	0.010337442
2458447.82718	14.482676	0.0100539075
2458449.72736	14.522558	0.010071797
2458449.72918	14.517284	0.010069383
2458449.73352	14.504518	0.010063599
2458449.73511	14.518429	0.010069906
2458449.73616	14.523994	0.010072458
2458450.73811	14.520701	0.010070945
2458450.73856	14.52141	0.010071271
2458450.73903	14.516307	0.010068937
2458451.71801	14.518509	0.010069941
2458451.72119	14.51791	0.010069669
2458451.73098	14.535856	0.010077954
2458451.73416	14.524951	0.010072897
2458451.73872	14.507466	0.010064927
2458456.65362	14.512578	0.01006724
2458461.59234	14.538571	0.010079224
2458461.5933	14.56062	0.010089681
2458461.59425	14.5465355	0.010082969
2458461.5952	14.541626	0.010080655
2458461.59615	14.542229	0.010080938
2458461.5971	14.532813	0.010076536
2458461.59805	14.558303	0.010088569
2458461.599	14.54502	0.010082253
2458461.59995	14.538153	0.010079027
2458461.6009	14.531461	0.010075908
2458461.60184	14.537553	0.010078746
2458461.60279	14.518548	0.01006996
2458461.60374	14.540343	0.0100800535
2458461.60469	14.539499	0.010079657
2458461.60564	14.5440035	0.010081775
2458461.60659	14.543629	0.010081598
2458461.60755	14.554749	0.010086869
2458461.64849	14.535746	0.010077901
2458461.64943	14.552001	0.010085559
2458461.65038	14.541621	0.010080653
2458461.65133	14.537257	0.010078608
2458461.65228	14.528733	0.010074644
2458461.65323	14.548929	0.010084102
2458461.65418	14.547913	0.01008362
2458461.65513	14.536549	0.010078277
2458461.65608	14.536292	0.010078158
2458461.65704	14.552592	0.010085841
2458461.65799	14.532087	0.0100762
2458461.65894	14.541474	0.010080584
2458461.65989	14.552372	0.010085737
2458461.66083	14.545995	0.010082712
2458461.66178	14.529595	0.010075044
2458461.66273	14.555752	0.0100873485
2458461.66368	14.548204	0.010083757
2458461.66463	14.536836	0.010078412
2458461.66558	14.533748	0.010076972
2458461.66653	14.551294	0.010085224
2458461.67127	14.540014	0.010079899
2458461.67222	14.546634	0.010083015
2458461.67317	14.549411	0.010084331
2458461.67413	14.540173	0.010079973
2458461.67508	14.5555	0.010087227
2458461.67603	14.538419	0.010079152
2458461.67698	14.545147	0.010082313
2458461.67793	14.55596	0.010087446
2458461.67888	14.538506	0.010079192
2458461.67983	14.549836	0.01008453
2458461.68078	14.542824	0.0100812195
2458461.68172	14.539973	0.01007988
2458461.68267	14.54357	0.01008157
2458461.68362	14.532674	0.010076472
2458461.68457	14.547284	0.010083323
2458461.68552	14.549831	0.0100845285
2458461.68647	14.540944	0.010080335
2458461.68742	14.547386	0.010083371
2458461.68837	14.525249	0.010073035
2458461.68933	14.53863	0.010079251
2458461.69028	14.531127	0.010075754
2458461.69123	14.525204	0.010073015
2458461.69217	14.560089	0.010089425
2458461.69312	14.516293	0.01006893
2458461.69407	14.524567	0.010072722
2458461.69597	14.530492	0.010075459
2458461.69882	14.530142	0.010075296
2458461.69977	14.537883	0.0100789005
2458461.70072	14.529917	0.010075193
2458461.70167	14.542492	0.010081063
2458461.70261	14.531778	0.010076055
2458461.70356	14.550281	0.010084742
2458461.70451	14.534246	0.010077204
2458461.70546	14.543969	0.010081759
2458461.70641	14.549348	0.0100843
2458461.70736	14.548465	0.010083881
2458461.70831	14.531222	0.010075798
2458461.70926	14.544736	0.010082119
2458461.71021	14.53742	0.010078685
2458461.71116	14.5391865	0.0100795105
2458461.7121	14.546625	0.010083012
2458461.71306	14.529209	0.010074864
2458461.71401	14.551167	0.010085163
2458461.71496	14.548483	0.01008389
2458461.71591	14.544286	0.010081907
2458461.71686	14.559564	0.010089172
2458461.71781	14.538955	0.0100794025
2458461.71876	14.541027	0.010080374
2458461.71971	14.529192	0.010074857
2458461.72066	14.536359	0.010078189
2458461.72161	14.544257	0.010081895
2458461.72256	14.540743	0.01008024
2458461.7235	14.539184	0.01007951
2458461.72445	14.568386	0.010093428
2458461.7254	14.519725	0.010070497
2458461.72635	14.533961	0.01007707
2458461.7273	14.562556	0.010090612
2458461.72825	14.537397	0.010078674
2458461.7292	14.536149	0.01007809
2458461.73016	14.536806	0.010078398
2458461.73111	14.533366	0.010076794
2458461.73206	14.5299015	0.010075185
2458461.73301	14.5370655	0.01007852
2458461.73395	14.520733	0.010070959
2458461.7349	14.547672	0.010083507
2458461.73585	14.533182	0.010076708
2458461.7368	14.540168	0.0100799715
2458461.73775	14.541855	0.010080762
2458461.7387	14.537549	0.010078745
2458461.73965	14.529414	0.010074959
2458461.7406	14.526821	0.0100737605
2458461.74155	14.534657	0.010077395
2458461.7425	14.540668	0.010080205
2458461.74344	14.533382	0.010076801
2458461.74439	14.533657	0.010076929
2458461.74534	14.525588	0.0100731915
2458461.74629	14.544657	0.010082082
2458461.74724	14.530807	0.010075605
2458461.74819	14.541447	0.010080571
2458461.74914	14.536921	0.010078451
2458461.75009	14.519556	0.010070421
2458461.75104	14.528095	0.01007435
2458461.75199	14.518771	0.010070062
2458461.75294	14.539146	0.010079493
2458461.75388	14.539252	0.010079541
2458461.75483	14.522915	0.010071961
2458461.75578	14.5357895	0.010077923
2458461.75673	14.510493	0.010066295
2458462.6585	14.552516	0.010085804
2458462.65944	14.54013	0.010079954
2458462.66039	14.522988	0.010071996
2458462.66134	14.557116	0.0100879995
2458462.66229	14.552435	0.010085765
2458462.66324	14.525667	0.010073228
2458462.66419	14.55037	0.0100847855
2458462.66514	14.53677	0.010078381
2458462.66609	14.541574	0.010080631
2458462.66704	14.5544	0.010086703
2458462.66799	14.554775	0.010086882
2458462.66893	14.54638	0.010082895
2458462.66988	14.543437	0.010081507
2458462.67083	14.517802	0.010069619
2458462.67178	14.549867	0.010084546
2458462.67273	14.546908	0.0100831445
2458462.67368	14.536898	0.01007844
2458462.67463	14.530134	0.010075293
2458462.67558	14.55268	0.010085883
2458462.67653	14.537747	0.010078838
2458462.67748	14.54666	0.010083028
2458462.67842	14.535232	0.010077663
2458462.68033	14.534615	0.010077375
2458462.68128	14.530584	0.010075501
2458462.68223	14.534155	0.010077161
2458462.68318	14.524216	0.010072559
2458462.68413	14.532546	0.010076412
2458462.68508	14.532997	0.010076622
2458462.68603	14.530601	0.010075509
2458462.6869799998	14.532628	0.01007645
2458462.68793	14.518725	0.010070041
2458462.68888	14.5430565	0.0100813275
2458462.68982	14.518385	0.010069884
2458462.69077	14.536817	0.010078402
2458462.69172	14.52328	0.01007213
2458462.69267	14.527212	0.010073941
2458462.69362	14.53286	0.010076558
2458462.69457	14.5354395	0.01007776
2458462.69552	14.543893	0.010081722
2458462.69647	14.530113	0.010075283
2458462.69742	14.539013	0.0100794295
2458462.69886	14.539093	0.010079468
2458462.69981	14.527008	0.010073847
2458462.70077	14.54374	0.010081651
2458469.59919	14.549118	0.010084191
2458475.633	14.531515	0.010075933
2458482.68806	14.522754	0.010071887
2458494.59154	14.535193	0.010077645
2458601.99355	14.519895	0.010070576
2458607.99211	14.530401	0.010075416
2458634.92852	14.517785	0.010069612
2458637.9284800002	14.526877	0.010073787
2458640.97061	14.516203	0.01006889
2458643.96727	14.540239	0.010080005
2458646.97085	14.508188	0.010065254
2458652.92505	14.520873	0.010071023
2458655.89882	14.509469	0.010329798
2458655.89927	14.501018	0.0103279175
2458655.95268	14.491607	0.01005784
2458658.90584	14.525592	0.010073193
2458661.93363	14.535193	0.010077645
2458665.94517	14.522114	0.010071592
2458668.86304	14.528589	0.010074577
2458671.92842	14.497392	0.010060409
2458672.98314	14.538532	0.010336557
2458672.98359	14.5337105	0.010335403
2458674.97234	14.500917	0.010061984
2458675.86885	14.541058	0.010080388
2458675.8693	14.5106325	0.010066358
2458675.88656	14.529034	0.010074783
2458675.88746	14.521853	0.010071474
2458675.8913	14.537964	0.010078938
2458675.91121	14.532142	0.010076224
2458675.92366	14.459553	0.010043921
2458675.93771	14.533166	0.010076701
2458675.93816	14.489582	0.0100569455
2458676.87567	14.534614	0.010077375
2458676.87977	14.52541	0.0100731095
2458676.89452	14.506441	0.010064465
2458676.89819	14.533055	0.0100766495
2458676.91317	14.518165	0.010069784
2458676.91362	14.501107	0.01006207
2458677.80371	14.533036	0.01007664
2458677.86572	14.550304	0.010084754
2458677.86617	14.545735	0.01008259
2458677.89546	14.535643	0.010077854
2458677.89756	14.525821	0.0100732995
2458677.90765	14.481507	0.010053396
2458677.92828	14.502821	0.010062837
2458677.92873	14.562735	0.010090697
2458678.84514	14.515432	0.010068538
2458678.84559	14.506778	0.010064617
2458678.85802	14.519974	0.010070613
2458678.86624	14.513703	0.010067752
2458678.90018	14.5186205	0.010069993
2458678.91683	14.568005	0.010093244
2458678.91729	14.493401	0.010058635
2458679.86013	14.545599	0.010082526
2458679.86058	14.557143	0.010088013
2458679.89473	14.533819	0.010077005
